Reference,Version,Predetermined,Type,EAN13,Family,Catalog,"National Rate",Warranty,"Etiqueta V/f",Datasheet,Description,masterfile.tender_text,masterfile.codi_duaner,Material,Finish,Length,Width,Height,Projection,"Light source","Bulb included","Energy efficiency","Units master box","Discontinued item","Product launch","Weight packaged (KG)","Weight master box","Weight net (KG)","Volume Unit (m3)","Volume Master box (m3)","Length Box 1","Width Box 1","Height Box 1","Length Box 2","Width Box 2","Height Box 2","Length Box 3","Width Box 3","Height Box 3","Length MB 1","Width MB 1","Height MB 1","Length MB 2","Width MB 2","Height MB 2","Length MB 3","Width MB 3","Height MB 3","Wattage (W)","Lumen Output (lm)","Lumenes reales (lm)","Led Colour Temperature (K)",CRI,"Light Beam (º)","Regulation type","IP Rating",IK,"Web Image","Ambient Image 1","Ambient Image 2","Ambient Image 3","Detail Image 1","Detail Image 2",IMC,EE,Photometry,masterfile.ploma_comercial,Accessories,3D,masterfile.ies,masterfile.ldt,"Codi Kenia","Codi RETILAP","Codi Marroc","Country Code 4","Country Code 5","Country Code 6",Model
05-2838-21-21,V0,No,"Reading lights",8435381453220,"Book Round Surface",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-2838-21-21.html,"READING LIGHTS BOOK ROUND SURFACE LED 3000K CHROME 28LM","LedsC4 Book Round Surface 05-2838-21-21  Reading lights for indoor use.   For downlighting.. Optimum price-performance. Optimum visual comfort. Easy instalation. High durability for intensive use. Structure material: Steel, Aluminium. Structure finish: Chrome. Warranty: 3 Years.  Product net weight (Kg): 0.22 Product length (mm): 340 Product width or diameter (mm): 90  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 1W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  13.0. Photobiological risk: RG2. Real flux (lm): 28. Nominal flux (lm): 94. Real lm/W: 28. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included.",9405119090,"Steel, Aluminium",Chrome,340,90,,,"1xLED 1 94.00 lm",Yes,G,6,"Descatalogado EN",2011,"0,6","3,6","0,22","0,007","0,042",260,120,180,,,,,,,,,,,,,,,,,"94,00",28,3000K,80,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/05-2838-21-21,,,,,,https://files.ledsc4.com/imc/05-2838-21-21.html,https://files.ledsc4.com/el/05-2838-21-21.html,https://files.ledsc4.com/fm/05-2838-21-21.html,https://files.ledsc4.com/pl/05-2838-21-21.html,,https://files.ledsc4.com/3d/05-2838-21-21.html,https://files.ledsc4.com/ies/05-2838-21-21.html,https://files.ledsc4.com/ldt/05-2838-21-21.html,,,FX-LED-I,,,,"Book Model 4"
05-2845-21-21,V0,Yes,"Reading lights",8435111066362,"Book Rectangular Surface",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-2845-21-21.html,"READING LIGHTS BOOK RECTANGULAR SURFACE LED 3W 3000K CHROME 125LM","LedsC4 Book Rectangular Surface 05-2845-21-21  Reading lights for indoor use.   For downlighting.. Optimum price-performance. Optimum visual comfort. Easy instalation. High durability for intensive use. Structure material: Steel, Aluminium. Structure finish: Chrome. Warranty: 3 Years.  Product net weight (Kg): 0.59 Product width or diameter (mm): 65 Product height (mm): Min 205 Max 445 Product aperture (mm): Min 40 Max 230  Class 1. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 3W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  19.7. Photobiological risk: RG2. Real flux (lm): 125. Nominal flux (lm): 182. Real lm/W: 42. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 3.",9405119090,"Steel, Aluminium",Chrome,,65,"Min 205 Max 445","Min 40 Max 230","1xLED 3 182.00 lm",Yes,E,6,"Descatalogado EN",2011,"0,76","4,56","0,59","0,004","0,024",260,65,185,,,,,,,,,,,,,,,,3,"182,00",125,3000K,80,MEDIUM,,IP20,,https://files.ledsc4.com/main-photo/05-2845-21-21,https://files.ledsc4.com/ambience-photo/1/05-2845-21-21,https://files.ledsc4.com/ambience-photo/2/05-2845-21-21,,https://files.ledsc4.com/detail-photo/1/05-2845-21-21,https://files.ledsc4.com/detail-photo/2/05-2845-21-21,https://files.ledsc4.com/imc/05-2845-21-21.html,https://files.ledsc4.com/el/05-2845-21-21.html,https://files.ledsc4.com/fm/05-2845-21-21.html,https://files.ledsc4.com/pl/05-2845-21-21.html,,https://files.ledsc4.com/3d/05-2845-21-21.html,https://files.ledsc4.com/ies/05-2845-21-21.html,https://files.ledsc4.com/ldt/05-2845-21-21.html,,RETILAP-DECORATIVE,FX-LED-I,,,,"Book Model 2"
DM-0061-N3-00,V0,No,"Recessed ceiling lights",8435381496159,"Multidir One LED 180mm Trim",Architectural,,3,"12V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/DM-0061-N3-00.html,"RECESSED CEILING LIGHTS MULTIDIR ONE LED 180MM TRIM G53 100W GREY IP23","LedsC4 Multidir One LED 180mm Trim DM-0061-N3-00  Recessed ceiling lights for indoor use.   For downlighting. Cardan system for very easy alignment. Adjustable light source. Structure material: Steel, Aluminium. Structure finish: Grey. Warranty: 3 Years.  Product net weight (Kg): 0.96 Product length (mm): 180 Product width or diameter (mm): 180 Product height (mm): 135 Ø of the hole for recessing (mm): 160x160 Permitted ceiling thickness: 0-25  Class 3. Glow wire test: 850. IP: IP23. Total power: 100.",9405199090,"Steel, Aluminium",Grey,180,180,135,,,No,"NA EPREL",6,"Descatalogado EN",2011,"1,27","7,62","0,96","0,01","0,06",240,225,150,,,,,,,470,265,470,,,,,,,100,,,,,,,IP23,,https://files.ledsc4.com/main-photo/DM-0061-N3-00,https://files.ledsc4.com/ambience-photo/1/DM-0061-N3-00,,,,,https://files.ledsc4.com/imc/DM-0061-N3-00.html,,,https://files.ledsc4.com/pl/DM-0061-N3-00.html,,https://files.ledsc4.com/3d/DM-0061-N3-00.html,,,,,DW-LED-III,,,,"Multidir One LED 180mm Trim"
DM-0082-14-00,V0,No,"Recessed ceiling lights",8435381496203,"Multidir Double LED 299mm Trimless",Architectural,,3,"12V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/DM-0082-14-00.html,"RECESSED CEILING LIGHTS MULTIDIR DOUBLE LED 299MM TRIMLESS G53 200W 39.9º WHITE","LedsC4 Multidir Double LED 299mm Trimless DM-0082-14-00  Recessed ceiling lights for indoor use.   For downlighting. Cardan system for very easy alignment. Adjustable light source. Structure material: Steel, Aluminium. Structure finish: White. Warranty: 3 Years.  Product net weight (Kg): 2.58 Product length (mm): 299 Product width or diameter (mm): 155 Product height (mm): 135 Ø of the hole for recessing (mm): 300x156 Permitted ceiling thickness: 0-25  Class 3. IP: IP23. Total power: 200.",9405199090,"Steel, Aluminium",White,299,155,135,,,No,"NA EPREL",4,"Descatalogado EN",2011,"3,09","12,36","2,58","0,025","0,1",390,200,275,,,,,,,420,410,575,,,,,,,200,,978,,,"EXTRA MEDIUM",,IP23,,https://files.ledsc4.com/main-photo/DM-0082-14-00,,,,,,https://files.ledsc4.com/imc/DM-0082-14-00.html,,https://files.ledsc4.com/fm/DM-0082-14-00.html,https://files.ledsc4.com/pl/DM-0082-14-00.html,,https://files.ledsc4.com/3d/DM-0082-14-00.html,https://files.ledsc4.com/ies/DM-0082-14-00.html,https://files.ledsc4.com/ldt/DM-0082-14-00.html,,,DW-LED-III,,,,"Multidir Double LED 299mm Trimless"
DM-0082-60-00,V0,No,"Recessed ceiling lights",8435526801091,"Multidir Double LED 299mm Trimless",Architectural,,3,"12V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/DM-0082-60-00.html,"RECESSED CEILING LIGHTS MULTIDIR DOUBLE LED 299MM TRIMLESS G53 200W BLACK IP23","LedsC4 Multidir Double LED 299mm Trimless DM-0082-60-00  Recessed ceiling lights for indoor use.   For downlighting. Cardan system for very easy alignment. Adjustable light source. Structure material: Steel, Aluminium. Structure finish: Black. Warranty: 3 Years.  Product net weight (Kg): 2.58 Product length (mm): 299 Product width or diameter (mm): 155 Product height (mm): 135 Ø of the hole for recessing (mm): 300x156 Permitted ceiling thickness: 0-25  Class 3. IP: IP23. Total power: 200.",9405199090,"Steel, Aluminium",Black,299,155,135,,,No,,4,"Descatalogado EN",2011,"3,09","12,36","2,58","0,025","0,1",390,200,275,,,,,,,420,410,575,,,,,,,200,,,,,,,IP23,,https://files.ledsc4.com/main-photo/DM-0082-60-00,,,,,,https://files.ledsc4.com/imc/DM-0082-60-00.html,,,https://files.ledsc4.com/pl/DM-0082-60-00.html,,https://files.ledsc4.com/3d/DM-0082-60-00.html,,,,,DW-LED-III,,,,"Multidir Double LED 299mm Trimless"
ACT-9105-60-00,V0,Yes,Accessory,8435111095928,"Kit Ceiling Surface",Architectural,,3,,https://files.ledsc4.com/ft2/en/ACT-9105-60-00.html,"BLACK TRIMLESS SURFACE INSTALLATION KIT","LedsC4 Kit Ceiling Surface ACT-9105-60-00  Accessory for indoor use.  Structure material: ABS. Warranty: 3 Years.  Product net weight (Kg): 0.0.",9405990090,ABS,,,,,,,No,"NA EPREL",1,"Descatalogado EN",2011,"0,09","0,09","0,09","0,001","0,001",100,100,32,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9105-60-00,,,,,,https://files.ledsc4.com/imc/ACT-9105-60-00.html,,,https://files.ledsc4.com/pl/ACT-9105-60-00.html,,,,,,,NA-Accessory,,,,
ACT-9106-14-00,V0,Yes,Accessory,8435111095942,ACCESSORY,Architectural,,5,,https://files.ledsc4.com/ft2/en/ACT-9106-14-00.html,"RECESSED BOX","LedsC4 ACCESSORY ACT-9106-14-00  Accessory for indoor use.  Structure material: ABS. Warranty: 5 Years.  Product net weight (Kg): 0.1 Ø of the hole for recessing (mm): 105x114 Permitted ceiling thickness: 0-3.",9405990090,ABS,,,,,,,No,"NA EPREL",1,"Inactivo EN",,"0,1","0,1","0,1","0,001","0,001",130,130,60,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9106-14-00,,,,,,https://files.ledsc4.com/imc/ACT-9106-14-00.html,,,https://files.ledsc4.com/pl/ACT-9106-14-00.html,,,,,,,NA-Accessory,,,,
ACT-9106-60-00,V0,Yes,Accessory,8435111095959,ACCESSORY,Architectural,,5,,https://files.ledsc4.com/ft2/en/ACT-9106-60-00.html,"RECESSED BOX","LedsC4 ACCESSORY ACT-9106-60-00  Accessory for indoor use.  Structure material: ABS. Warranty: 5 Years.  Product net weight (Kg): 0..",9405990090,ABS,,,,,,,No,"NA EPREL",1,"Inactivo EN",,"0,1","0,1","0,1","0,001","0,001",130,130,60,,,,,,,,,,,,,,,,,,,,,,,,,https://files.ledsc4.com/main-photo/ACT-9106-60-00,,,,,,https://files.ledsc4.com/imc/ACT-9106-60-00.html,,,https://files.ledsc4.com/pl/ACT-9106-60-00.html,,,,,,,NA-Accessory,,,,
71-3454-54-M2,V0,Yes,Profile,8435111079386,"Lineal Surfaced A",Architectural,"54,3",5,,https://files.ledsc4.com/ft2/en/71-3454-54-M2.html,"PROFILE LINEAL SURFACED A IP20 ALUMINIUM","LedsC4 Lineal Surfaced A 71-3454-54-M2  Profile for indoor use.   Includes fixing clips, covers and diffuser. Fully uniform diffuser with no shadows or glare. Structure material: Aluminium. Structure finish: Anodised aluminium. Diffuser material: Methacrylate. Diffuser finish: Transparent. Warranty: 5 Years.  Product net weight (Kg): 0.57 Product length (mm): 2000 Product width or diameter (mm): 25 Product height (mm): 19,5  IP: IP20.",9405990090,"Aluminium, Methacrylate","Anodised aluminium, Transparent",2000,25,"19,5",,,No,"NA EPREL",20,"Discontinuo EN",2011,"1,05",21,"0,57","0,004","0,08",2025,40,40,,,,,,,2045,230,180,,,,,,,,,,,,,,IP20,,https://files.ledsc4.com/main-photo/71-3454-54-M2,https://files.ledsc4.com/ambience-photo/1/71-3454-54-M2,https://files.ledsc4.com/ambience-photo/2/71-3454-54-M2,https://files.ledsc4.com/ambience-photo/3/71-3454-54-M2,,,https://files.ledsc4.com/imc/71-3454-54-M2.html,,https://files.ledsc4.com/fm/71-3454-54-M2.html,https://files.ledsc4.com/pl/71-3454-54-M2.html,https://files.ledsc4.com/ft3/en/71-3454-54-M2.html,https://files.ledsc4.com/3d/71-3454-54-M2.html,https://files.ledsc4.com/ies/71-3454-54-M2.html,https://files.ledsc4.com/ldt/71-3454-54-M2.html,,,NA-Accessory,,,,"Lineal Surface A"
10-4409-21-12,V0,Yes,"Table lamp",8435111083253,Emy,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/10-4409-21-12.html,"TABLE LAMP EMY E14 9W CHROME 403LM","LedsC4 Emy 10-4409-21-12  Table lamp for indoor use.   For downlighting. The optical module can easily be rotated 360º. Structure material: Aluminium. Structure finish: Chrome. Diffuser material: Polycarbonate. Diffuser finish: Fumé, Opal. Warranty: 3 Years.  Product net weight (Kg): 4.18 Product width or diameter (mm): 205 Product height (mm): Min 540 Max 570 Product aperture (mm): Min 260 Max 340  Class 1. IP: IP20. Total power: 9.",9405299090,"Aluminium, Polycarbonate","Chrome, Fumé, Opal",,205,"Min 540 Max 570","Min 260 Max 340",,No,"NA EPREL",1,"Descatalogado EN",2014,"5,18","5,18","4,19","0,05308","0,05308",300,250,625,270,270,85,,,,,,,,,,,,,9,,403,,,"Check Photometric file",,IP20,,https://files.ledsc4.com/main-photo/10-4409-21-12,https://files.ledsc4.com/ambience-photo/1/10-4409-21-12,,,https://files.ledsc4.com/detail-photo/1/10-4409-21-12,https://files.ledsc4.com/detail-photo/2/10-4409-21-12,https://files.ledsc4.com/imc/10-4409-21-12.html,,https://files.ledsc4.com/fm/10-4409-21-12.html,https://files.ledsc4.com/pl/10-4409-21-12.html,,https://files.ledsc4.com/3d/10-4409-21-12.html,https://files.ledsc4.com/ies/10-4409-21-12.html,https://files.ledsc4.com/ldt/10-4409-21-12.html,,RETILAP-DECORATIVE,PR-INC-I,,,,
05-4695-81-82,V0,Yes,"Surface-mounted wall light",8435111086643,Torino,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-4695-81-82.html,"WALL FIXTURE TORINO E27 60 SATIN NICKEL. SHADE NOT INCLUDED.","LedsC4 Torino 05-4695-81-82  Surface-mounted wall light for indoor use.   For frontal lighting. Design by Nahtrang. Timeless design. Highly customisable: accessories, finishes… Premium finishes. Optimum price-performance. Easy instalation. Full collection with complementary products. High durability for intensive use. Adjustable light source. Structure material: Steel. Structure finish: Satin nickel. Warranty: 3 Years.  Product net weight (Kg): 0.58 Product width or diameter (mm): 140 Product height (mm): 239 Product aperture (mm): 249  Class 1. Glow wire test: 850. IP: IP20. E27. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 15W. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. Photobiological risk: RG2. Nominal flux (lm): 182. Voltage: 3. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 3W. Hours of life: 50.000h L80B20. Nominal flux (lm): 182. Voltage / frequency range: 100-240/50-60Hz. Equipment included: Yes. Multi-voltage equipment included. Total power: 18.3.",9405119090,Steel,"Satin nickel",,140,239,249,"1xE27 15 182.00 lm",Yes,E,8,"Descatalogado EN",2011,"1,03","8,24","0,58","0,01","0,08",265,190,170,,,,,,,730,390,285,,,,,,,"18,3","182,00",,,80,,,IP20,,https://files.ledsc4.com/main-photo/05-4695-81-82,,,,,,https://files.ledsc4.com/imc/05-4695-81-82.html,https://files.ledsc4.com/el/05-4695-81-82.html,https://files.ledsc4.com/fm/05-4695-81-82.html,https://files.ledsc4.com/pl/05-4695-81-82.html,https://files.ledsc4.com/ft3/en/05-4695-81-82.html,https://files.ledsc4.com/3d/05-4695-81-82.html,https://files.ledsc4.com/ies/05-4695-81-82.html,https://files.ledsc4.com/ldt/05-4695-81-82.html,,RETILAP-DECORATIVE,FX-INC-I,,,,
05-4695-Y2-82,V0,Yes,"Surface-mounted wall light",8435111086650,Torino,Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-4695-Y2-82.html,"WALL FIXTURE TORINO E27 60 BROWN. SHADE NOT INCLUDED.","LedsC4 Torino 05-4695-Y2-82  Surface-mounted wall light for indoor use.   For frontal lighting. Design by Nahtrang. Timeless design. Highly customisable: accessories, finishes… Premium finishes. Optimum price-performance. Easy instalation. Full collection with complementary products. High durability for intensive use. Adjustable light source. Structure material: Steel. Structure finish: Marrón envejecido. Warranty: 3 Years.  Product net weight (Kg): 0.58 Product width or diameter (mm): 140 Product height (mm): 239 Product aperture (mm): 249  Class 1. Glow wire test: 850. IP: IP20. E27. No. of lampholders or LEDs: 1. Maximum power of light source: 15W. Hours of life: 50.000h L80B20. LED. No. of lampholders or LEDs: 1. LED brand: CREE. Maximum power of light source: 3W. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. Photobiological risk: RG2. Voltage / frequency range: 100-240/50-60Hz. Voltage: 3. Equipment included: Yes. Multi-voltage equipment included. Total power: 18.3.",9405119090,Steel,"Marrón envejecido",,140,239,249,,Yes,,8,"Descatalogado EN",2011,"1,03","8,24","0,58","0,01","0,08",265,190,170,,,,,,,730,390,285,,,,,,,"18,3",,,,,,,IP20,,https://files.ledsc4.com/main-photo/05-4695-Y2-82,https://files.ledsc4.com/ambience-photo/1/05-4695-Y2-82,,,,,https://files.ledsc4.com/imc/05-4695-Y2-82.html,,,https://files.ledsc4.com/pl/05-4695-Y2-82.html,https://files.ledsc4.com/ft3/en/05-4695-Y2-82.html,https://files.ledsc4.com/3d/05-4695-Y2-82.html,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
30-4398-J7-J7,V0,No,Fan,8435111082614,"Phuket ø1320mm",Forlight,"311,1",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/30-4398-J7-J7.html,"FAN PHUKET Ø1320MM COPPER BROWN BROWN","LedsC4 Phuket ø1320mm 30-4398-J7-J7  Fan for indoor use.   For downlighting. Suitable for intensive use. Structure material: Steel. Structure finish: Copper brown. Blade material: ABS. Blade finish: Brown. Warranty: 5 Years.  Product net weight (Kg): 8.36 Product width or diameter (mm): 1320 Product height (mm): 330  Class 1. IP: IP23. Equipment included: No.",8414510090,Steel,"Copper brown",,1320,330,,,No,"NA EPREL",1,"Discontinuo EN",2014,"9,48","9,48","8,36","0,064","0,064",590,340,320,,,,,,,,,,,,,,,,,,,,,,,IP23,,https://files.ledsc4.com/main-photo/30-4398-J7-J7,https://files.ledsc4.com/ambience-photo/1/30-4398-J7-J7,https://files.ledsc4.com/ambience-photo/2/30-4398-J7-J7,https://files.ledsc4.com/ambience-photo/3/30-4398-J7-J7,https://files.ledsc4.com/detail-photo/1/30-4398-J7-J7,,https://files.ledsc4.com/imc/30-4398-J7-J7.html,,,https://files.ledsc4.com/pl/30-4398-J7-J7.html,https://files.ledsc4.com/ft3/en/30-4398-J7-J7.html,https://files.ledsc4.com/3d/30-4398-J7-J7.html,,,,,NA-Accessory,,,,
15-0074-14-05,V0,Yes,"Surface-mounted ceiling light",8435111088166,"Pipe Double",Decorative,"65,51",5,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/15-0074-14-05.html,"SURFACE-MOUNTED CEILING LIGHT PIPE DOUBLE GU10 16W WHITE 605LM","LedsC4 Pipe Double 15-0074-14-05  Surface-mounted ceiling light for indoor use.   For downlighting. Ideal deco-tech compositions. Minimalist design. Highly versatile, multiple installations. Highly customisable: accessories, finishes… Optimum price-performance. Optimum visual comfort. Embedded/surface mounted double installation. Easy instalation. Full collection with complementary products. High durability for intensive use. Adjustable light source. Structure material: Aluminium, Steel. Structure finish: White. Warranty: 5 Years.  Product net weight (Kg): 0.82 Product length (mm): 204 Product width or diameter (mm): 68 Product height (mm): 140  Class 1. Glow wire test: 850. IP: IP23. Total power: 16.",9405199090,"Aluminium, Steel",White,204,68,140,,,No,"NA EPREL",6,"Discontinuo EN",2012,"1,12","6,72","0,82","0,005","0,03",240,180,85,,,,,,,380,290,270,,,,,,,16,,605,,,MEDIUM,,IP23,,https://files.ledsc4.com/main-photo/15-0074-14-05,https://files.ledsc4.com/ambience-photo/1/15-0074-14-05,,,,,https://files.ledsc4.com/imc/15-0074-14-05.html,,https://files.ledsc4.com/fm/15-0074-14-05.html,https://files.ledsc4.com/pl/15-0074-14-05.html,https://files.ledsc4.com/ft3/en/15-0074-14-05.html,https://files.ledsc4.com/3d/15-0074-14-05.html,https://files.ledsc4.com/ies/15-0074-14-05.html,https://files.ledsc4.com/ldt/15-0074-14-05.html,,RETILAP-DECORATIVE,FX-INC-I,,,,"Pipe Ceiling Double"
10-1523-21-21,V0,No,"Table lamp",8435381449995,Elva,Decorative,,2,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/10-1523-21-21.html,"TABLE LAMP ELVA LED 8W 3000K CHROME 301LM","LedsC4 Elva 10-1523-21-21  Table lamp for indoor use.   For downlighting. Timeless design. Premium finishes. Optimum visual comfort. Adjustable light source. Structure material: Aluminium, Steel. Structure finish: Chrome. Warranty: 2 Years.  Product net weight (Kg): 1.95 Product width or diameter (mm): 65 Product height (mm): 550 Product aperture (mm): 360  Class 2. IP: IP20. LED. No. of lampholders or LEDs: 1. LED brand: CITIZEN. Maximum power of light source: 6W. Colour temperature: 3000K. Colour rendering index: 80. MacAdam Steps: 3. Hours of life: 50.000h L80B20. UGR:  19.8. Photobiological risk: RG1. Real flux (lm): 301. Nominal flux (lm): 434. Real lm/W: 38. Voltage / frequency range: 100-240. Voltage: 9.1. Equipment included: Yes. Multi-voltage equipment included. Total power: 8. Power factor: 0.49.",9405219090,"Aluminium, Steel",Chrome,,65,550,360,"1xLED 6 434 lm",Yes,F,6,"Descatalogado EN",2012,"2,83","16,98","1,95","0,016","0,096",615,225,95,,,,,,,,,,,,,,,,8,434,301,3000K,80,,,IP20,,https://files.ledsc4.com/main-photo/10-1523-21-21,,,,,,https://files.ledsc4.com/imc/10-1523-21-21.html,https://files.ledsc4.com/el/10-1523-21-21.html,https://files.ledsc4.com/fm/10-1523-21-21.html,https://files.ledsc4.com/pl/10-1523-21-21.html,,https://files.ledsc4.com/3d/10-1523-21-21.html,https://files.ledsc4.com/ies/10-1523-21-21.html,https://files.ledsc4.com/ldt/10-1523-21-21.html,,,FX-LED-II,,,,
05-1411-21-F9,V0,Yes,Bath,8435111098707,"Dresde On",Decorative,,3,"100-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-1411-21-F9.html,"BATH IP44 DRESDE ON E14 9W CHROME","LedsC4 Dresde On 05-1411-21-F9  Bath for indoor use.   For frontal lighting. Timeless design. Easy instalation. IP protection, ideal for bathrooms. High durability for intensive use. Structure material: Steel, Aluminium. Structure finish: Chrome. Diffuser material: Glass. Diffuser finish: White. Warranty: 3 Years.  Product net weight (Kg): 0.9 Product width or diameter (mm): 58 Product height (mm): 220 Product aperture (mm): 110  Class 1. Glow wire test: 850. IP: IP44. Total power: 9.",9405199090,"Steel, Aluminium, Glass","Chrome, White",,58,220,110,,No,"NA EPREL",6,"Descatalogado EN",2012,"1,32","7,92","0,9","0,008","0,048",215,195,165,,,,,,,410,235,535,,,,,,,9,,,,,,,IP44,,https://files.ledsc4.com/main-photo/05-1411-21-F9,https://files.ledsc4.com/ambience-photo/1/05-1411-21-F9,https://files.ledsc4.com/ambience-photo/2/05-1411-21-F9,,https://files.ledsc4.com/detail-photo/1/05-1411-21-F9,https://files.ledsc4.com/detail-photo/2/05-1411-21-F9,https://files.ledsc4.com/imc/05-1411-21-F9.html,,,https://files.ledsc4.com/pl/05-1411-21-F9.html,,https://files.ledsc4.com/3d/05-1411-21-F9.html,,,,RETILAP-DECORATIVE,FX-INC-I,,,,
05-1507-21-M1,V0,No,Bath,8435381452704,"Toilet Q 580mm",Decorative,"179,21",5,"110-240V ~ 50/60Hz",https://files.ledsc4.com/ft2/en/05-1507-21-M1.html,"WALL FIXTURE IP44 TOILET Q 580MM LED 13W 3000K CHROME 367LM","LedsC4 Toilet Q 580mm 05-1507-21-M1  Bath for indoor use.   For frontal lighting. Timeless design. IP protection, ideal for bathrooms. High durability for intensive use. Structure material: Aluminium. Structure finish: Chrome. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 5 Years.  Product net weight (Kg): 0.76 Product width or diameter (mm): 580 Product height (mm): 40 Product aperture (mm): 75  Class 2. Glow wire test: 850. IP: IP44. IK: IK01. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 10W. Colour temperature: 3000K. Colour rendering index: 80. Hours of life: 50.000h L80B20. UGR:  10.0. Real flux (lm): 367. Nominal flux (lm): 910. Real lm/W: 28. Equipment included: Yes. Multi-voltage equipment included. Total power: 13.",9405119090,"Aluminium, Polycarbonate","Chrome, Opal",,580,40,75,"1xLED 10 910 lm",Yes,F,8,"Discontinuo EN",2012,"1,07","8,56","0,76","0,009","0,072",635,85,130,,,,,,,,,,,,,,,,13,910,367,3000K,80,,,IP44,IK01,https://files.ledsc4.com/main-photo/05-1507-21-M1,,,,,,https://files.ledsc4.com/imc/05-1507-21-M1.html,https://files.ledsc4.com/el/05-1507-21-M1.html,https://files.ledsc4.com/fm/05-1507-21-M1.html,https://files.ledsc4.com/pl/05-1507-21-M1.html,,https://files.ledsc4.com/3d/05-1507-21-M1.html,https://files.ledsc4.com/ies/05-1507-21-M1.html,https://files.ledsc4.com/ldt/05-1507-21-M1.html,,,FX-LED-II,,,,"Toilet Q 580mm"
05-1508-21-M1,V0,No,Bath,8435381452711,"Toilet Q 880mm",Decorative,"234,15",5,220-240V/50-60Hz,https://files.ledsc4.com/ft2/en/05-1508-21-M1.html,"BATH IP44 TOILET Q 880MM LED 3000K CHROME 616LM","LedsC4 Toilet Q 880mm 05-1508-21-M1  Bath for indoor use.   For frontal lighting. Timeless design. IP protection, ideal for bathrooms. High durability for intensive use. Structure material: Aluminium. Structure finish: Chrome. Diffuser material: Polycarbonate. Diffuser finish: Opal. Warranty: 5 Years.  Product net weight (Kg): 1.11 Product width or diameter (mm): 880 Product height (mm): 40 Product aperture (mm): 75  Class 2. Glow wire test: 850. IP: IP44. LED. No. of lampholders or LEDs: 1. Maximum power of light source: 16W. Colour temperature: 3000K. Colour rendering index: 80. Hours of life: 50.000h L80B20. UGR:  12.0. Real flux (lm): 616. Nominal flux (lm): 1405. Real lm/W: 39. Equipment included: Yes.",9405119090,"Aluminium, Polycarbonate","Chrome, Opal",,880,40,75,"1xLED 16 1405 lm",Yes,F,8,"Discontinuo EN",2012,"1,55","12,4","1,11","0,012","0,096",920,130,90,,,,,,,,,,,,,,,,,1405,616,3000K,80,,,IP44,,https://files.ledsc4.com/main-photo/05-1508-21-M1,https://files.ledsc4.com/ambience-photo/1/05-1508-21-M1,,,,,https://files.ledsc4.com/imc/05-1508-21-M1.html,https://files.ledsc4.com/el/05-1508-21-M1.html,https://files.ledsc4.com/fm/05-1508-21-M1.html,https://files.ledsc4.com/pl/05-1508-21-M1.html,,https://files.ledsc4.com/3d/05-1508-21-M1.html,https://files.ledsc4.com/ies/05-1508-21-M1.html,https://files.ledsc4.com/ldt/05-1508-21-M1.html,,,FX-LED-II,,,,"Toilet Q 880mm"
