SKU,INVENTARIO
71-C168-60-00,75
71-C169-60-00,204
71-C170-60-00,167
71-C171-60-00,274
71-C172-60-00,92
75-5314-21-K3,0
75-8076-K3-F1,0
75-A002-K3-F1,376
81-9914-34-34,97
81-9915-34-34,101
81-E102-Z5-Z5,1
90-1453-14-T2,1
90-1689-21-37,0
90-1813-14-00,4
90-2024-14-M3,1
90-2582-14-37,4
90-2613-14-37,4
90-2614-14-37,1
90-2616-14-37,4
90-3208-14-DU,6
90-3208-14-OE,3
90-3208-14-OU,1
90-3208-60-OU,2
90-3209-14-DU,0
90-3209-14-OU,0
90-3209-60-OE,15
90-3210-60-OU,62
90-3211-60-OU,1
90-3298-N3-37,2
90-3299-14-37,1
90-3522-N3-37,1
90-3525-14-OE,3
90-3525-60-DU,3
90-3529-14-OE,3
90-3529-60-DU,10
90-3530-14-OU,10
90-3530-60-OU,1
90-3985-N3-OE,1
90-4349-14-B9,110
90-4736-14-37,10
90-4767-14-37,1
90-4775-14-37,1
90-4779-14-37,4
90-4781-14-37,0
90-4782-14-37,708
90-4783-14-37,0
90-4791-14-37,4
90-4793-14-37,1
90-4799-14-DS,1
90-4799-14-OS,1
90-4799-N3-DS,3
90-4799-N3-OS,4
90-4800-14-OS,1
90-4800-N3-OS,2
90-4843-14-37,1
90-4844-14-37,1
90-4846-14-37,1
90-4880-14-M3,0
90-5139-14-37,0
90-5144-14-37,101
90-5147-14-37,2
90-5472-14-OS,2
90-5472-N3-DS,2
90-5473-14-OS,1
90-5473-N3-OS,7
90-5473-N3-OU,3
90-5474-14-DS,9
90-5474-14-OU,13
90-5474-N3-DS,10
90-5474-N3-OS,4
90-5475-14-OU,1
90-5475-N3-OU,3
90-5698-14-DS,2
90-5699-14-OS,1
90-5699-N3-DS,4
90-5699-N3-OS,2
90-5701-14-DS,1
